Local optimal solution found.
Objective value:         421435.0
Objective bound:         421435.0
Infeasibilities:         0.000000
Extended solver steps:       1467
Total solver iterations:   357392
Elapsed runtime seconds:    24.80

Model Class:                PINLP

Total variables:             831
Nonlinear variables:         208
Integer variables:           831

Total constraints:           728
Nonlinear constraints:       104

Total nonzeros:             2175
Nonlinear nonzeros:          208


  Variable   Value   Variable   Value 
    S( 38)  12.0000   SM( 38)  0.00000
    S( 39)  11.0000   SM( 39)  4.00000
    S( 40)  17.0000   SM( 40)  10.0000
    S( 41)  16.0000   SM( 41)  6.00000
    S( 42)  15.0000   SM( 42)  0.00000
    S( 43)  13.0000   SM( 43)  3.00000
    S( 44)  17.0000   SM( 44)  8.00000
    S( 45)  16.0000   SM( 45)  5.00000
    S( 46)  15.0000   SM( 46)  0.00000
    S( 47)  13.0000   SM( 47)  3.00000
    S( 48)  29.0000   SM( 48)  19.0000
    S( 49)  28.0000   SM( 49)  12.0000
    S( 50)  26.0000   SM( 50)  0.00000
    S( 51)  23.0000   SM( 51)  2.00000
    S( 52)  23.0000   SM( 52)  0.00000
    S( 53)  36.0000   SM( 53)  0.00000
    S( 54)  50.0000   SM( 54)  0.00000
    S( 55)  45.0000   SM( 55)  0.00000
    S( 56)  45.0000   SM( 56)  0.00000
    S( 57)  49.0000   SM( 57)  0.00000
    S( 58)  57.0000   SM( 58)  0.00000
    S( 59)  64.0000   SM( 59)  21.0000
    S( 60)  60.0000   SM( 60)  20.0000
    S( 61)  56.0000   SM( 61)  12.0000
    S( 62)  52.0000   SM( 62)  0.00000
    S( 63)  65.0000   SM( 63)  22.0000
    S( 64)  61.0000   SM( 64)  19.0000
    S( 65)  57.0000   SM( 65)  12.0000
    S( 66)  52.0000   SM( 66)  0.00000
    S( 67)  60.0000   SM( 67)  19.0000
    S( 68)  56.0000   SM( 68)  17.0000
    S( 69)  52.0000   SM( 69)  11.0000
    S( 70)  48.0000   SM( 70)  0.00000
    S( 71)  53.0000   SM( 71)  18.0000
    S( 72)  49.0000   SM( 72)  15.0000
    S( 73)  46.0000   SM( 73)  11.0000
    S( 74)  42.0000   SM( 74)  0.00000
    S( 75)  38.0000   SM( 75)  4.00000
    S( 76)  47.0000   SM( 76)  11.0000
    S( 77)  43.0000   SM( 77)  0.00000
    S( 78)  55.0000   SM( 78)  0.00000
    S( 79)  59.0000   SM( 79)  11.0000
    S( 80)  54.0000   SM( 80)  0.00000
    S( 81)  65.0000   SM( 81)  0.00000
    S( 82)  89.0000   SM( 82)  9.00000
    S( 83)  81.0000   SM( 83)  11.0000
    S( 84)  74.0000   SM( 84)  0.00000
    S( 85)  85.0000   SM( 85)  0.00000
    S( 86)  101.000   SM( 86)  0.00000
    S( 87)  108.000   SM( 87)  19.0000
    S( 88)  99.0000   SM( 88)  11.0000
    S( 89)  90.0000   SM( 89)  0.00000
    S( 90)  100.000   SM( 90)  0.00000
    S( 91)  107.000   SM( 91)  20.0000
    S( 92)  98.0000   SM( 92)  10.0000
    S( 93)  89.0000   SM( 93)  0.00000
    S( 94)  104.000   SM( 94)  0.00000
    S( 95)  134.000   SM( 95)  45.0000
    S( 96)  125.000   SM( 96)  36.0000
    S( 97)  116.000   SM( 97)  26.0000
    S( 98)  107.000   SM( 98)  1.00000
    S( 99)  96.0000   SM( 99)  0.00000
   S( 100)  94.0000  SM( 100)  0.00000
   S( 101)  99.0000  SM( 101)  0.00000
   S( 102)  110.000  SM( 102)  1.00000
   S( 103)  99.0000  SM( 103)  0.00000
   S( 104)  96.0000  SM( 104)  0.00000
   S( 105)  102.000  SM( 105)  0.00000
     H( 1)  50.0000    HM( 1)  0.00000
     H( 2)  50.0000    HM( 2)  5.00000
     H( 3)  64.0000    HM( 3)  44.0000
     H( 4)  60.0000    HM( 4)  41.0000
     H( 5)  104.000    HM( 5)  76.0000
     H( 6)  100.000    HM( 6)  36.0000
     H( 7)  92.0000    HM( 7)  68.0000
     H( 8)  88.0000    HM( 8)  68.0000
     H( 9)  84.0000    HM( 9)  56.0000
    H( 10)  80.0000   HM( 10)  28.0000
    H( 11)  76.0000   HM( 11)  52.0000
    H( 12)  72.0000   HM( 12)  52.0000
    H( 13)  68.0000   HM( 13)  39.0000
    H( 14)  76.0000   HM( 14)  28.0000
    H( 15)  72.0000   HM( 15)  52.0000
    H( 16)  68.0000   HM( 16)  52.0000
    H( 17)  68.0000   HM( 17)  44.0000
    H( 18)  64.0000   HM( 18)  28.0000
    H( 19)  60.0000   HM( 19)  40.0000
    H( 20)  56.0000   HM( 20)  35.0000
    H( 21)  72.0000   HM( 21)  20.0000
    H( 22)  224.000   HM( 22)  108.000
    H( 23)  212.000   HM( 23)  128.000
    H( 24)  204.000   HM( 24)  136.000
    H( 25)  196.000   HM( 25)  116.000
    H( 26)  188.000   HM( 26)  80.0000
    H( 27)  176.000   HM( 27)  124.000
    H( 28)  172.000   HM( 28)  136.000
    H( 29)  168.000   HM( 29)  128.000
    H( 30)  164.000   HM( 30)  100.000
    H( 31)  156.000   HM( 31)  132.000
    H( 32)  152.000   HM( 32)  132.000
    H( 33)  148.000   HM( 33)  120.000
    H( 34)  144.000   HM( 34)  100.000
    H( 35)  140.000   HM( 35)  120.000
    H( 36)  136.000   HM( 36)  116.000
    H( 37)  132.000   HM( 37)  108.000
    H( 38)  128.000   HM( 38)  80.0000
    H( 39)  124.000   HM( 39)  96.0000
    H( 40)  120.000   HM( 40)  92.0000
    H( 41)  116.000   HM( 41)  76.0000
    H( 42)  112.000   HM( 42)  52.0000
    H( 43)  104.000   HM( 43)  64.0000
    H( 44)  100.000   HM( 44)  64.0000
    H( 45)  96.0000   HM( 45)  51.0000
    H( 46)  105.000   HM( 46)  44.0000
    H( 47)  100.000   HM( 47)  60.0000
    H( 48)  96.0000   HM( 48)  50.0000
    H( 49)  208.000   HM( 49)  144.000
    H( 50)  200.000   HM( 50)  96.0000
    H( 51)  188.000   HM( 51)  104.000
    H( 52)  180.000   HM( 52)  84.0000
    H( 53)  246.000   HM( 53)  92.0000
    H( 54)  430.000   HM( 54)  230.000
    H( 55)  410.000   HM( 55)  230.000
    H( 56)  390.000   HM( 56)  209.000
    H( 57)  385.000   HM( 57)  186.000
    H( 58)  425.000   HM( 58)  197.000
    H( 59)  401.000   HM( 59)  228.000
    H( 60)  393.000   HM( 60)  233.000
    H( 61)  377.000   HM( 61)  199.000
    H( 62)  401.000   HM( 62)  193.000
    H( 63)  381.000   HM( 63)  208.000
    H( 64)  367.000   HM( 64)  199.000
    H( 65)  351.000   HM( 65)  168.000
    H( 66)  391.000   HM( 66)  182.000
    H( 67)  373.000   HM( 67)  208.000
    H( 68)  368.000   HM( 68)  212.000
    H( 69)  352.000   HM( 69)  187.000
    H( 70)  356.000   HM( 70)  164.000
    H( 71)  336.000   HM( 71)  196.000
    H( 72)  320.000   HM( 72)  184.000
    H( 73)  308.000   HM( 73)  167.000
    H( 74)  309.000   HM( 74)  140.000
    H( 75)  304.000   HM( 75)  168.000
    H( 76)  292.000   HM( 76)  145.000
    H( 77)  324.000   HM( 77)  144.000
    H( 78)  457.000   HM( 78)  237.000
    H( 79)  433.000   HM( 79)  241.000
    H( 80)  413.000   HM( 80)  192.000
    H( 81)  489.000   HM( 81)  220.000
    H( 82)  641.000   HM( 82)  321.000
    H( 83)  609.000   HM( 83)  329.000
    H( 84)  581.000   HM( 84)  280.000
    H( 85)  647.000   HM( 85)  296.000
    H( 86)  831.000   HM( 86)  427.000
    H( 87)  791.000   HM( 87)  435.000
    H( 88)  755.000   HM( 88)  403.000
    H( 89)  719.000   HM( 89)  352.000
    H( 90)  823.000   HM( 90)  423.000
    H( 91)  783.000   HM( 91)  434.000
    H( 92)  752.000   HM( 92)  400.000
    H( 93)  716.000   HM( 93)  352.000
    H( 94)  840.000   HM( 94)  424.000
    H( 95)  800.000   HM( 95)  444.000
    H( 96)  764.000   HM( 96)  408.000
    H( 97)  728.000   HM( 97)  363.000
    H( 98)  792.000   HM( 98)  365.000
    H( 99)  808.000   HM( 99)  424.000
   H( 100)  768.000  HM( 100)  389.000
   H( 101)  779.000  HM( 101)  376.000
   H( 102)  876.000  HM( 102)  440.000
   H( 103)  832.000  HM( 103)  436.000
   H( 104)  792.000  HM( 104)  406.000
   H( 105)  792.000  HM( 105)  384.000
    SP( 1)  0.00000    SU( 1)  0.00000
    SP( 2)  0.00000    SU( 2)  11.0000
    SP( 3)  0.00000    SU( 3)  5.00000
    SP( 4)  6.00000    SU( 4)  4.00000
    SP( 5)  0.00000    SU( 5)  7.00000
    SP( 6)  0.00000    SU( 6)  16.0000
    SP( 7)  0.00000    SU( 7)  6.00000
    SP( 8)  0.00000    SU( 8)  5.00000
    SP( 9)  2.00000    SU( 9)  7.00000
   SP( 10)  0.00000   SU( 10)  13.0000
   SP( 11)  0.00000   SU( 11)  6.00000
   SP( 12)  0.00000   SU( 12)  5.00000
   SP( 13)  3.00000   SU( 13)  7.00000
   SP( 14)  0.00000   SU( 14)  12.0000
   SP( 15)  0.00000   SU( 15)  5.00000
   SP( 16)  0.00000   SU( 16)  4.00000
   SP( 17)  0.00000   SU( 17)  6.00000
   SP( 18)  0.00000   SU( 18)  9.00000
   SP( 19)  24.0000   SU( 19)  5.00000
   SP( 20)  0.00000   SU( 20)  5.00000
   SP( 21)  0.00000   SU( 21)  11.0000
   SP( 22)  0.00000   SU( 22)  29.0000
   SP( 23)  7.00000   SU( 23)  21.0000
   SP( 24)  0.00000   SU( 24)  17.0000
   SP( 25)  0.00000   SU( 25)  20.0000
   SP( 26)  0.00000   SU( 26)  27.0000
   SP( 27)  0.00000   SU( 27)  13.0000
   SP( 28)  0.00000   SU( 28)  9.00000
   SP( 29)  0.00000   SU( 29)  10.0000
   SP( 30)  0.00000   SU( 30)  16.0000
   SP( 31)  0.00000   SU( 31)  6.00000
   SP( 32)  0.00000   SU( 32)  5.00000
   SP( 33)  0.00000   SU( 33)  7.00000
   SP( 34)  0.00000   SU( 34)  11.0000
   SP( 35)  0.00000   SU( 35)  5.00000
   SP( 36)  0.00000   SU( 36)  5.00000
   SP( 37)  0.00000   SU( 37)  6.00000
   SP( 38)  0.00000   SU( 38)  12.0000
   SP( 39)  7.00000   SU( 39)  7.00000
   SP( 40)  0.00000   SU( 40)  7.00000
   SP( 41)  0.00000   SU( 41)  10.0000
   SP( 42)  0.00000   SU( 42)  15.0000
   SP( 43)  5.00000   SU( 43)  10.0000
   SP( 44)  0.00000   SU( 44)  9.00000
   SP( 45)  0.00000   SU( 45)  11.0000
   SP( 46)  0.00000   SU( 46)  15.0000
   SP( 47)  17.0000   SU( 47)  10.0000
   SP( 48)  0.00000   SU( 48)  10.0000
   SP( 49)  0.00000   SU( 49)  16.0000
   SP( 50)  0.00000   SU( 50)  26.0000
   SP( 51)  2.00000   SU( 51)  21.0000
   SP( 52)  15.0000   SU( 52)  23.0000
   SP( 53)  18.0000   SU( 53)  36.0000
   SP( 54)  0.00000   SU( 54)  50.0000
   SP( 55)  5.00000   SU( 55)  45.0000
   SP( 56)  9.00000   SU( 56)  45.0000
   SP( 57)  13.0000   SU( 57)  49.0000
   SP( 58)  13.0000   SU( 58)  57.0000
   SP( 59)  0.00000   SU( 59)  43.0000
   SP( 60)  0.00000   SU( 60)  40.0000
   SP( 61)  0.00000   SU( 61)  44.0000
   SP( 62)  18.0000   SU( 62)  52.0000
   SP( 63)  0.00000   SU( 63)  43.0000
   SP( 64)  0.00000   SU( 64)  42.0000
   SP( 65)  0.00000   SU( 65)  45.0000
   SP( 66)  13.0000   SU( 66)  52.0000
   SP( 67)  0.00000   SU( 67)  41.0000
   SP( 68)  0.00000   SU( 68)  39.0000
   SP( 69)  0.00000   SU( 69)  41.0000
   SP( 70)  10.0000   SU( 70)  48.0000
   SP( 71)  0.00000   SU( 71)  35.0000
   SP( 72)  0.00000   SU( 72)  34.0000
   SP( 73)  0.00000   SU( 73)  35.0000
   SP( 74)  0.00000   SU( 74)  42.0000
   SP( 75)  12.0000   SU( 75)  34.0000
   SP( 76)  0.00000   SU( 76)  36.0000
   SP( 77)  16.0000   SU( 77)  43.0000
   SP( 78)  10.0000   SU( 78)  55.0000
   SP( 79)  0.00000   SU( 79)  48.0000
   SP( 80)  16.0000   SU( 80)  54.0000
   SP( 81)  31.0000   SU( 81)  65.0000
   SP( 82)  0.00000   SU( 82)  80.0000
   SP( 83)  0.00000   SU( 83)  70.0000
   SP( 84)  18.0000   SU( 84)  74.0000
   SP( 85)  25.0000   SU( 85)  85.0000
   SP( 86)  17.0000   SU( 86)  101.000
   SP( 87)  0.00000   SU( 87)  89.0000
   SP( 88)  0.00000   SU( 88)  88.0000
   SP( 89)  19.0000   SU( 89)  90.0000
   SP( 90)  17.0000   SU( 90)  100.000
   SP( 91)  0.00000   SU( 91)  87.0000
   SP( 92)  0.00000   SU( 92)  88.0000
   SP( 93)  24.0000   SU( 93)  89.0000
   SP( 94)  40.0000   SU( 94)  104.000
   SP( 95)  0.00000   SU( 95)  89.0000
   SP( 96)  0.00000   SU( 96)  89.0000
   SP( 97)  0.00000   SU( 97)  90.0000
   SP( 98)  0.00000   SU( 98)  106.000
   SP( 99)  8.00000   SU( 99)  96.0000
  SP( 100)  14.0000  SU( 100)  94.0000
  SP( 101)  21.0000  SU( 101)  99.0000
  SP( 102)  0.00000  SU( 102)  109.000
  SP( 103)  7.00000  SU( 103)  99.0000
  SP( 104)  16.0000  SU( 104)  96.0000
  SP( 105)  0.00000  SU( 105)  102.000
    HP( 1)  0.00000    HU( 1)  0.00000
    HP( 2)  18.0000    HU( 2)  44.0000
    HP( 3)  0.00000    HU( 3)  20.0000
    HP( 4)  44.0000    HU( 4)  16.0000
    HP( 5)  0.00000    HU( 5)  28.0000
    HP( 6)  0.00000    HU( 6)  64.0000
    HP( 7)  0.00000    HU( 7)  24.0000
    HP( 8)  0.00000    HU( 8)  20.0000
    HP( 9)  0.00000    HU( 9)  28.0000
   HP( 10)  0.00000   HU( 10)  52.0000
   HP( 11)  0.00000   HU( 11)  24.0000
   HP( 12)  0.00000   HU( 12)  20.0000
   HP( 13)  12.0000   HU( 13)  28.0000
   HP( 14)  0.00000   HU( 14)  48.0000
   HP( 15)  0.00000   HU( 15)  20.0000
   HP( 16)  0.00000   HU( 16)  16.0000
   HP( 17)  0.00000   HU( 17)  24.0000
   HP( 18)  0.00000   HU( 18)  36.0000
   HP( 19)  0.00000   HU( 19)  20.0000
   HP( 20)  20.0000   HU( 20)  20.0000
   HP( 21)  156.000   HU( 21)  44.0000
   HP( 22)  0.00000   HU( 22)  116.000
   HP( 23)  0.00000   HU( 23)  84.0000
   HP( 24)  0.00000   HU( 24)  68.0000
   HP( 25)  0.00000   HU( 25)  80.0000
   HP( 26)  0.00000   HU( 26)  108.000
   HP( 27)  0.00000   HU( 27)  52.0000
   HP( 28)  0.00000   HU( 28)  36.0000
   HP( 29)  0.00000   HU( 29)  40.0000
   HP( 30)  0.00000   HU( 30)  64.0000
   HP( 31)  0.00000   HU( 31)  24.0000
   HP( 32)  0.00000   HU( 32)  20.0000
   HP( 33)  0.00000   HU( 33)  28.0000
   HP( 34)  0.00000   HU( 34)  44.0000
   HP( 35)  0.00000   HU( 35)  20.0000
   HP( 36)  0.00000   HU( 36)  20.0000
   HP( 37)  0.00000   HU( 37)  24.0000
   HP( 38)  0.00000   HU( 38)  48.0000
   HP( 39)  0.00000   HU( 39)  28.0000
   HP( 40)  0.00000   HU( 40)  28.0000
   HP( 41)  0.00000   HU( 41)  40.0000
   HP( 42)  0.00000   HU( 42)  60.0000
   HP( 43)  0.00000   HU( 43)  40.0000
   HP( 44)  0.00000   HU( 44)  36.0000
   HP( 45)  13.0000   HU( 45)  44.0000
   HP( 46)  3.00000   HU( 46)  60.0000
   HP( 47)  0.00000   HU( 47)  40.0000
   HP( 48)  116.000   HU( 48)  40.0000
   HP( 49)  0.00000   HU( 49)  64.0000
   HP( 50)  0.00000   HU( 50)  104.000
   HP( 51)  0.00000   HU( 51)  84.0000
   HP( 52)  74.0000   HU( 52)  92.0000
   HP( 53)  200.000   HU( 53)  144.000
   HP( 54)  0.00000   HU( 54)  200.000
   HP( 55)  0.00000   HU( 55)  180.000
   HP( 56)  15.0000   HU( 56)  180.000
   HP( 57)  60.0000   HU( 57)  196.000
   HP( 58)  0.00000   HU( 58)  228.000
   HP( 59)  8.00000   HU( 59)  172.000
   HP( 60)  0.00000   HU( 60)  160.000
   HP( 61)  40.0000   HU( 61)  176.000
   HP( 62)  0.00000   HU( 62)  208.000
   HP( 63)  2.00000   HU( 63)  172.000
   HP( 64)  0.00000   HU( 64)  168.000
   HP( 65)  60.0000   HU( 65)  180.000
   HP( 66)  2.00000   HU( 66)  208.000
   HP( 67)  11.0000   HU( 67)  164.000
   HP( 68)  0.00000   HU( 68)  156.000
   HP( 69)  20.0000   HU( 69)  164.000
   HP( 70)  0.00000   HU( 70)  192.000
   HP( 71)  0.00000   HU( 71)  140.000
   HP( 72)  0.00000   HU( 72)  136.000
   HP( 73)  17.0000   HU( 73)  140.000
   HP( 74)  11.0000   HU( 74)  168.000
   HP( 75)  0.00000   HU( 75)  136.000
   HP( 76)  48.0000   HU( 76)  144.000
   HP( 77)  149.000   HU( 77)  172.000
   HP( 78)  0.00000   HU( 78)  220.000
   HP( 79)  0.00000   HU( 79)  192.000
   HP( 80)  96.0000   HU( 80)  216.000
   HP( 81)  180.000   HU( 81)  260.000
   HP( 82)  0.00000   HU( 82)  320.000
   HP( 83)  0.00000   HU( 83)  280.000
   HP( 84)  94.0000   HU( 84)  296.000
   HP( 85)  220.000   HU( 85)  340.000
   HP( 86)  0.00000   HU( 86)  404.000
   HP( 87)  0.00000   HU( 87)  356.000
   HP( 88)  0.00000   HU( 88)  352.000
   HP( 89)  140.000   HU( 89)  360.000
   HP( 90)  0.00000   HU( 90)  400.000
   HP( 91)  5.00000   HU( 91)  348.000
   HP( 92)  0.00000   HU( 92)  352.000
   HP( 93)  160.000   HU( 93)  356.000
   HP( 94)  0.00000   HU( 94)  416.000
   HP( 95)  0.00000   HU( 95)  356.000
   HP( 96)  0.00000   HU( 96)  356.000
   HP( 97)  100.000   HU( 97)  360.000
   HP( 98)  60.0000   HU( 98)  424.000
   HP( 99)  0.00000   HU( 99)  384.000
  HP( 100)  47.0000  HU( 100)  376.000
  HP( 101)  137.000  HU( 101)  396.000
  HP( 102)  0.00000  HU( 102)  436.000
  HP( 103)  0.00000  HU( 103)  396.000
  HP( 104)  40.0000  HU( 104)  384.000
  HP( 105)  0.00000  HU( 105)  408.000

    HT( 1)  50.0000     P( 1)  0.00000
    HT( 2)  1.00000     P( 2)  2035.00
    HT( 3)  0.00000     P( 3)  290.000
    HT( 4)  3.00000     P( 4)  6045.00
    HT( 5)  0.00000     P( 5)  480.000
    HT( 6)  0.00000     P( 6)  180.000
    HT( 7)  0.00000     P( 7)  420.000
    HT( 8)  0.00000     P( 8)  420.000
    HT( 9)  0.00000     P( 9)  730.000
   HT( 10)  0.00000    P( 10)  140.000
   HT( 11)  0.00000    P( 11)  320.000
   HT( 12)  0.00000    P( 12)  320.000
   HT( 13)  1.00000    P( 13)  2155.00
   HT( 14)  0.00000    P( 14)  140.000
   HT( 15)  0.00000    P( 15)  320.000
   HT( 16)  0.00000    P( 16)  320.000
   HT( 17)  0.00000    P( 17)  260.000
   HT( 18)  0.00000    P( 18)  140.000
   HT( 19)  0.00000    P( 19)  4370.00
   HT( 20)  1.00000    P( 20)  2645.00
   HT( 21)  8.00000    P( 21)  15010.0
   HT( 22)  0.00000    P( 22)  540.000
   HT( 23)  0.00000    P( 23)  2050.00
   HT( 24)  0.00000    P( 24)  820.000
   HT( 25)  0.00000    P( 25)  670.000
   HT( 26)  0.00000    P( 26)  400.000
   HT( 27)  0.00000    P( 27)  730.000
   HT( 28)  0.00000    P( 28)  820.000
   HT( 29)  0.00000    P( 29)  760.000
   HT( 30)  0.00000    P( 30)  550.000
   HT( 31)  0.00000    P( 31)  790.000
   HT( 32)  0.00000    P( 32)  790.000
   HT( 33)  0.00000    P( 33)  700.000
   HT( 34)  0.00000    P( 34)  550.000
   HT( 35)  0.00000    P( 35)  700.000
   HT( 36)  0.00000    P( 36)  670.000
   HT( 37)  0.00000    P( 37)  610.000
   HT( 38)  0.00000    P( 38)  400.000
   HT( 39)  0.00000    P( 39)  1880.00
   HT( 40)  0.00000    P( 40)  560.000
   HT( 41)  0.00000    P( 41)  440.000
   HT( 42)  0.00000    P( 42)  260.000
   HT( 43)  0.00000    P( 43)  1350.00
   HT( 44)  0.00000    P( 44)  400.000
   HT( 45)  1.00000    P( 45)  1745.00
   HT( 46)  1.00000    P( 46)  560.000
   HT( 47)  0.00000    P( 47)  3350.00
   HT( 48)  6.00000    P( 48)  11540.0
   HT( 49)  0.00000    P( 49)  840.000
   HT( 50)  0.00000    P( 50)  480.000
   HT( 51)  0.00000    P( 51)  940.000
   HT( 52)  4.00000    P( 52)  10420.0
   HT( 53)  10.0000    P( 53)  22340.0
   HT( 54)  0.00000    P( 54)  1150.00
   HT( 55)  0.00000    P( 55)  2150.00
   HT( 56)  1.00000    P( 56)  4425.00
   HT( 57)  3.00000    P( 57)  9340.00
   HT( 58)  0.00000    P( 58)  3365.00
   HT( 59)  1.00000    P( 59)  2240.00
   HT( 60)  0.00000    P( 60)  1365.00
   HT( 61)  2.00000    P( 61)  5335.00
   HT( 62)  0.00000    P( 62)  4145.00
   HT( 63)  1.00000    P( 63)  1490.00
   HT( 64)  0.00000    P( 64)  1185.00
   HT( 65)  3.00000    P( 65)  6990.00
   HT( 66)  1.00000    P( 66)  3520.00
   HT( 67)  1.00000    P( 67)  2450.00
   HT( 68)  0.00000    P( 68)  1230.00
   HT( 69)  1.00000    P( 69)  3255.00
   HT( 70)  0.00000    P( 70)  2720.00
   HT( 71)  0.00000    P( 71)  1160.00
   HT( 72)  0.00000    P( 72)  1070.00
   HT( 73)  1.00000    P( 73)  2825.00
   HT( 74)  1.00000    P( 74)  1920.00
   HT( 75)  0.00000    P( 75)  3100.00
   HT( 76)  3.00000    P( 76)  5785.00
   HT( 77)  8.00000    P( 77)  17670.0
   HT( 78)  0.00000    P( 78)  3085.00
   HT( 79)  0.00000    P( 79)  1315.00
   HT( 80)  5.00000    P( 80)  13110.0
   HT( 81)  9.00000    P( 81)  23250.0
   HT( 82)  0.00000    P( 82)  1695.00
   HT( 83)  0.00000    P( 83)  1755.00
   HT( 84)  5.00000    P( 84)  13690.0
   HT( 85)  11.0000    P( 85)  26290.0
   HT( 86)  0.00000    P( 86)  5155.00
   HT( 87)  0.00000    P( 87)  2365.00
   HT( 88)  0.00000    P( 88)  2125.00
   HT( 89)  7.00000    P( 89)  18370.0
   HT( 90)  0.00000    P( 90)  5135.00
   HT( 91)  1.00000    P( 91)  2930.00
   HT( 92)  0.00000    P( 92)  2100.00
   HT( 93)  8.00000    P( 93)  20980.0
   HT( 94)  0.00000    P( 94)  8820.00
   HT( 95)  0.00000    P( 95)  2670.00
   HT( 96)  0.00000    P( 96)  2400.00
   HT( 97)  5.00000    P( 97)  11725.0
   HT( 98)  3.00000    P( 98)  7865.00
   HT( 99)  0.00000    P( 99)  3660.00
  HT( 100)  3.00000   P( 100)  9345.00
  HT( 101)  7.00000   P( 101)  18540.0
  HT( 102)  0.00000   P( 102)  2210.00
  HT( 103)  0.00000   P( 103)  3540.00
  HT( 104)  2.00000   P( 104)  9110.00
  HT( 105)  0.00000   P( 105)  1920.00

     D( 1)  0.00000
     D( 2)  1.00000
     D( 3)  1.00000
     D( 4)  0.00000
     D( 5)  1.00000
     D( 6)  2.00000
     D( 7)  1.00000
     D( 8)  1.00000
     D( 9)  1.00000
    D( 10)  1.00000
    D( 11)  1.00000
    D( 12)  1.00000
    D( 13)  1.00000
    D( 14)  1.00000
    D( 15)  1.00000
    D( 16)  0.00000
    D( 17)  1.00000
    D( 18)  1.00000
    D( 19)  1.00000
    D( 20)  1.00000
    D( 21)  1.00000
    D( 22)  3.00000
    D( 23)  2.00000
    D( 24)  2.00000
    D( 25)  2.00000
    D( 26)  3.00000
    D( 27)  1.00000
    D( 28)  1.00000
    D( 29)  1.00000
    D( 30)  2.00000
    D( 31)  1.00000
    D( 32)  1.00000
    D( 33)  1.00000
    D( 34)  1.00000
    D( 35)  1.00000
    D( 36)  1.00000
    D( 37)  1.00000
    D( 38)  1.00000
    D( 39)  1.00000
    D( 40)  1.00000
    D( 41)  1.00000
    D( 42)  2.00000
    D( 43)  1.00000
    D( 44)  1.00000
    D( 45)  1.00000
    D( 46)  2.00000
    D( 47)  1.00000
    D( 48)  1.00000
    D( 49)  2.00000
    D( 50)  3.00000
    D( 51)  2.00000
    D( 52)  2.00000
    D( 53)  4.00000
    D( 54)  5.00000
    D( 55)  5.00000
    D( 56)  5.00000
    D( 57)  5.00000
    D( 58)  6.00000
    D( 59)  4.00000
    D( 60)  4.00000
    D( 61)  4.00000
    D( 62)  5.00000
    D( 63)  4.00000
    D( 64)  4.00000
    D( 65)  5.00000
    D( 66)  5.00000
    D( 67)  4.00000
    D( 68)  4.00000
    D( 69)  4.00000
    D( 70)  5.00000
    D( 71)  4.00000
    D( 72)  3.00000
    D( 73)  4.00000
    D( 74)  4.00000
    D( 75)  3.00000
    D( 76)  4.00000
    D( 77)  4.00000
    D( 78)  6.00000
    D( 79)  5.00000
    D( 80)  5.00000
    D( 81)  7.00000
    D( 82)  8.00000
    D( 83)  7.00000
    D( 84)  7.00000
    D( 85)  9.00000
    D( 86)  10.0000
    D( 87)  9.00000
    D( 88)  9.00000
    D( 89)  9.00000
