  Variable           Value    Variable           Value  
    HM( 3)        44.00000      HU( 3)        20.00000  
    HM( 4)        44.00000      HU( 4)        16.00000  
    HM( 5)        23.00000      HU( 5)        28.00000  
    HM( 6)        28.00000      HU( 6)        64.00000  
    HM( 7)        64.00000      HU( 7)        24.00000  
    HM( 8)        64.00000      HU( 8)        20.00000  
    HM( 9)        51.00000      HU( 9)        28.00000  
   HM( 10)        28.00000     HU( 10)        52.00000  
   HM( 11)        52.00000     HU( 11)        24.00000  
   HM( 12)        52.00000     HU( 12)        20.00000  
   HM( 13)        38.00000     HU( 13)        28.00000  
   HM( 14)        28.00000     HU( 14)        48.00000  
   HM( 15)        48.00000     HU( 15)        20.00000  
   HM( 16)        48.00000     HU( 16)        16.00000  
   HM( 17)        35.00000     HU( 17)        24.00000  
   HM( 18)        24.00000     HU( 18)        36.00000  
   HM( 19)        36.00000     HU( 19)        20.00000  
   HM( 20)        29.00000     HU( 20)        20.00000  
   HM( 21)        20.00000     HU( 21)        44.00000  
   HM( 22)        44.00000     HU( 22)        116.0000  
   HM( 23)        116.0000     HU( 23)        84.00000  
   HM( 24)        116.0000     HU( 24)        68.00000  
   HM( 25)        88.00000     HU( 25)        80.00000  
   HM( 26)        80.00000     HU( 26)        108.0000  
   HM( 27)        116.0000     HU( 27)        52.00000  
   HM( 28)        120.0000     HU( 28)        36.00000  
   HM( 29)        108.0000     HU( 29)        40.00000  
   HM( 30)        76.00000     HU( 30)        64.00000  
   HM( 31)        104.0000     HU( 31)        24.00000  
   HM( 32)        104.0000     HU( 32)        20.00000  
   HM( 33)        92.00000     HU( 33)        28.00000  
   HM( 34)        72.00000     HU( 34)        44.00000  
   HM( 35)        88.00000     HU( 35)        20.00000  
   HM( 36)        84.00000     HU( 36)        20.00000  
   HM( 37)        76.00000     HU( 37)        24.00000  
   HM( 38)        48.00000     HU( 38)        48.00000  
   HM( 39)        60.00000     HU( 39)        28.00000  
   HM( 40)        56.00000     HU( 40)        28.00000  
   HM( 41)        37.00000     HU( 41)        40.00000  
   HM( 42)        41.00000     HU( 42)        60.00000  
   HM( 43)        60.00000     HU( 43)        40.00000  
   HM( 44)        56.00000     HU( 44)        36.00000  
   HM( 45)        37.00000     HU( 45)        44.00000  
   HM( 46)        44.00000     HU( 46)        60.00000  
   HM( 47)        60.00000     HU( 47)        40.00000  
   HM( 48)        49.00000     HU( 48)        40.00000  
   HM( 49)        40.00000     HU( 49)        64.00000  
   HM( 50)        64.00000     HU( 50)        104.0000  
   HM( 51)        106.0000     HU( 51)        84.00000  
   HM( 52)        84.00000     HU( 52)        92.00000  
   HM( 53)        93.00000     HU( 53)        144.0000  
   HM( 54)        145.0000     HU( 54)        200.0000  
   HM( 55)        200.0000     HU( 55)        180.0000  
   HM( 56)        180.0000     HU( 56)        180.0000  
   HM( 57)        182.0000     HU( 57)        196.0000  
   HM( 58)        196.0000     HU( 58)        228.0000  
   HM( 59)        228.0000     HU( 59)        172.0000  
   HM( 60)        202.0000     HU( 60)        160.0000  
   HM( 61)        160.0000     HU( 61)        176.0000  
   HM( 62)        176.0000     HU( 62)        208.0000  
   HM( 63)        209.0000     HU( 63)        172.0000  
   HM( 64)        172.0000     HU( 64)        168.0000  
   HM( 65)        170.0000     HU( 65)        180.0000  
   HM( 66)        180.0000     HU( 66)        208.0000  
   HM( 67)        208.0000     HU( 67)        164.0000  
   HM( 68)        182.0000     HU( 68)        156.0000  
   HM( 69)        156.0000     HU( 69)        164.0000  
   HM( 70)        164.0000     HU( 70)        192.0000  
   HM( 71)        192.0000     HU( 71)        140.0000  
   HM( 72)        167.0000     HU( 72)        136.0000  
   HM( 73)        136.0000     HU( 73)        140.0000  
   HM( 74)        140.0000     HU( 74)        168.0000  
   HM( 75)        168.0000     HU( 75)        136.0000  
   HM( 76)        136.0000     HU( 76)        144.0000  
   HM( 77)        144.0000     HU( 77)        172.0000  
   HM( 78)        172.0000     HU( 78)        220.0000  
   HM( 79)        220.0000     HU( 79)        192.0000  
   HM( 80)        192.0000     HU( 80)        216.0000  
   HM( 81)        216.0000     HU( 81)        260.0000  
   HM( 82)        261.0000     HU( 82)        320.0000  
   HM( 83)        321.0000     HU( 83)        280.0000  
   HM( 84)        280.0000     HU( 84)        296.0000  
   HM( 85)        296.0000     HU( 85)        340.0000  
   HM( 86)        340.0000     HU( 86)        404.0000  
   HM( 87)        404.0000     HU( 87)        356.0000  
   HM( 88)        356.0000     HU( 88)        352.0000  
   HM( 89)        352.0000     HU( 89)        360.0000  
   HM( 90)        360.0000     HU( 90)        400.0000  
   HM( 91)        400.0000     HU( 91)        348.0000  
   HM( 92)        348.0000     HU( 92)        352.0000  
   HM( 93)        353.0000     HU( 93)        356.0000  
   HM( 94)        356.0000     HU( 94)        416.0000  
   HM( 95)        416.0000     HU( 95)        356.0000  
   HM( 96)        358.0000     HU( 96)        356.0000  
   HM( 97)        356.0000     HU( 97)        360.0000  
   HM( 98)        362.0000     HU( 98)        424.0000  
   HM( 99)        424.0000     HU( 99)        384.0000  
  HM( 100)        384.0000    HU( 100)        376.0000  
  HM( 101)        376.0000    HU( 101)        396.0000  
  HM( 102)        396.0000    HU( 102)        436.0000  
  HM( 103)        436.0000    HU( 103)        396.0000  
  HM( 104)        396.0000    HU( 104)        384.0000  
  HM( 105)        384.0000    HU( 105)        408.0000  

    HT( 1)        0.000000       P( 1)        380.0000  
    HT( 2)        3.000000       P( 2)        2485.000  
    HT( 3)        0.000000       P( 3)        280.0000  
    HT( 4)        0.000000       P( 4)        280.0000  
    HT( 5)        5.000000       P( 5)        6295.000  
    HT( 6)        1.000000       P( 6)        920.0000  
    HT( 7)        0.000000       P( 7)        390.0000  
    HT( 8)        0.000000       P( 8)        390.0000  
    HT( 9)        1.000000       P( 9)        1455.000  
   HT( 10)        1.000000      P( 10)        920.0000  
   HT( 11)        0.000000      P( 11)        300.0000  
   HT( 12)        0.000000      P( 12)        300.0000  
   HT( 13)        2.000000      P( 13)        2540.000  
   HT( 14)        0.000000      P( 14)        140.0000  
   HT( 15)        0.000000      P( 15)        290.0000  
   HT( 16)        0.000000      P( 16)        290.0000  
   HT( 17)        1.000000      P( 17)        1155.000  
   HT( 18)        1.000000      P( 18)        460.0000  
   HT( 19)        0.000000      P( 19)        200.0000  
   HT( 20)        3.000000      P( 20)        4245.000  
   HT( 21)        10.00000      P( 21)        15200.00  
   HT( 22)        6.000000      P( 22)        6660.000  
   HT( 23)        0.000000      P( 23)        600.0000  
   HT( 24)        0.000000      P( 24)        1400.000  
   HT( 25)        4.000000      P( 25)        6200.000  
   HT( 26)        0.000000      P( 26)        400.0000  
   HT( 27)        0.000000      P( 27)        670.0000  
   HT( 28)        0.000000      P( 28)        700.0000  
   HT( 29)        0.000000      P( 29)        810.0000  
   HT( 30)        0.000000      P( 30)        380.0000  
   HT( 31)        0.000000      P( 31)        590.0000  
   HT( 32)        0.000000      P( 32)        590.0000  
   HT( 33)        0.000000      P( 33)        700.0000  
   HT( 34)        0.000000      P( 34)        360.0000  
   HT( 35)        0.000000      P( 35)        480.0000  
   HT( 36)        0.000000      P( 36)        450.0000  
   HT( 37)        0.000000      P( 37)        1590.000  
   HT( 38)        0.000000      P( 38)        240.0000  
   HT( 39)        0.000000      P( 39)        330.0000  
   HT( 40)        0.000000      P( 40)        700.0000  
   HT( 41)        3.000000      P( 41)        4915.000  
   HT( 42)        1.000000      P( 42)        1315.000  
   HT( 43)        0.000000      P( 43)        320.0000  
   HT( 44)        0.000000      P( 44)        890.0000  
   HT( 45)        3.000000      P( 45)        4605.000  
   HT( 46)        1.000000      P( 46)        1000.000  
   HT( 47)        0.000000      P( 47)        320.0000  
   HT( 48)        3.000000      P( 48)        4955.000  
   HT( 49)        8.000000      P( 49)        10800.00  
   HT( 50)        4.000000      P( 50)        4650.000  
   HT( 51)        1.000000      P( 51)        2840.000  
   HT( 52)        9.000000      P( 52)        13460.00  
   HT( 53)        13.00000      P( 53)        19095.00  
   HT( 54)        7.000000      P( 54)        9495.000  
   HT( 55)        2.000000      P( 55)        5020.000  
   HT( 56)        6.000000      P( 56)        9720.000  
   HT( 57)        8.000000      P( 57)        13390.00  
   HT( 58)        2.000000      P( 58)        2980.000  
   HT( 59)        0.000000      P( 59)        1770.000  
   HT( 60)        2.000000      P( 60)        4750.000  
   HT( 61)        8.000000      P( 61)        13080.00  
   HT( 62)        4.000000      P( 62)        4750.000  
   HT( 63)        0.000000      P( 63)        2645.000  
   HT( 64)        5.000000      P( 64)        7950.000  
   HT( 65)        7.000000      P( 65)        11820.00  
   HT( 66)        3.000000      P( 66)        3240.000  
   HT( 67)        0.000000      P( 67)        2050.000  
   HT( 68)        2.000000      P( 68)        5020.000  
   HT( 69)        7.000000      P( 69)        10780.00  
   HT( 70)        2.000000      P( 70)        2380.000  
   HT( 71)        0.000000      P( 71)        1590.000  
   HT( 72)        1.000000      P( 72)        3105.000  
   HT( 73)        6.000000      P( 73)        9810.000  
   HT( 74)        3.000000      P( 74)        3590.000  
   HT( 75)        1.000000      P( 75)        3750.000  
   HT( 76)        7.000000      P( 76)        11030.00  
   HT( 77)        11.00000      P( 77)        16910.00  
   HT( 78)        7.000000      P( 78)        8550.000  
   HT( 79)        5.000000      P( 79)        9080.000  
   HT( 80)        12.00000      P( 80)        18130.00  
   HT( 81)        15.00000      P( 81)        23330.00  
   HT( 82)        8.000000      P( 82)        11385.00  
   HT( 83)        4.000000      P( 83)        9645.000  
   HT( 84)        13.00000      P( 84)        20370.00  
   HT( 85)        17.00000      P( 85)        26730.00  
   HT( 86)        9.000000      P( 86)        13290.00  
   HT( 87)        3.000000      P( 87)        8200.000  
   HT( 88)        8.000000      P( 88)        14660.00  
   HT( 89)        12.00000      P( 89)        20130.00  
   HT( 90)        7.000000      P( 90)        10310.00  
   HT( 91)        3.000000      P( 91)        8490.000  
   HT( 92)        9.000000      P( 92)        14980.00  
   HT( 93)        13.00000      P( 93)        22795.00  
   HT( 94)        8.000000      P( 94)        11640.00  
   HT( 95)        2.000000      P( 95)        7900.000  
   HT( 96)        8.000000      P( 96)        14470.00  
   HT( 97)        14.00000      P( 97)        23900.00  
   HT( 98)        10.00000      P( 98)        15110.00  
   HT( 99)        4.000000      P( 99)        9300.000  
  HT( 100)        10.00000     P( 100)        16940.00  
  HT( 101)        14.00000     P( 101)        22870.00  
  HT( 102)        9.000000     P( 102)        13600.00  
  HT( 103)        4.000000     P( 103)        9140.000  
  HT( 104)        8.000000     P( 104)        15860.00  
  HT( 105)        0.000000     P( 105)        1920.000  

     D( 1)        0.000000  
     D( 2)        2.000000  
     D( 3)        1.000000  
     D( 4)        1.000000  
     D( 5)        1.000000  
     D( 6)        3.000000  
     D( 7)        1.000000  
     D( 8)        1.000000  
     D( 9)        1.000000  
    D( 10)        3.000000  
    D( 11)        1.000000  
    D( 12)        1.000000  
    D( 13)        1.000000  
    D( 14)        2.000000  
    D( 15)        1.000000  
    D( 16)        1.000000  
    D( 17)        1.000000  
    D( 18)        2.000000  
    D( 19)        1.000000  
    D( 20)        1.000000  
    D( 21)        2.000000  
    D( 22)        6.000000  
    D( 23)        4.000000  
    D( 24)        3.000000  
    D( 25)        4.000000  
    D( 26)        5.000000  
    D( 27)        3.000000  
    D( 28)        2.000000  
    D( 29)        2.000000  
    D( 30)        3.000000  
    D( 31)        1.000000  
    D( 32)        1.000000  
    D( 33)        1.000000  
    D( 34)        2.000000  
    D( 35)        1.000000  
    D( 36)        1.000000  
    D( 37)        1.000000  
    D( 38)        2.000000  
    D( 39)        1.000000  
    D( 40)        1.000000  
    D( 41)        2.000000  
    D( 42)        3.000000  
    D( 43)        2.000000  
    D( 44)        2.000000  
    D( 45)        2.000000  
    D( 46)        3.000000  
    D( 47)        2.000000  
    D( 48)        2.000000  
